Opportunity_ID,Opportunity Name,Account Name,Stage Name,Amount,Close Date,Probability,Owner Name,Lead Source,Type,Metrics,Economic Buyer,Decision Criteria,Decision Process,Paper Process,Identify Pain,Champion,Competition,Created At,Batch ID
51,IBM Corporation - Falcon Prevent Implementation,IBM Corporation,Stage 1 - Negotiation,61048.0,2025-08-17,13.0,Maria Garcia,Website,New Business,"Reduce security incidents by 44%, improve MTTR by 72%",CISO - Donald Walker,"Performance impact, Integration capabilities, Vendor stability","101 day evaluation, 7 stakeholders",Procurement approval required,Current solution has slow response times,Megan Mcclain - IT Director,"McAfee, SentinelOne",2025-09-16 22:18:41.613487,batch_20250916_221841
52,Ford Motor Company - Falcon Insight Implementation,Ford Motor Company,Stage 1 - Proposal,69597.0,2025-08-17,54.0,Michael Rodriguez,Cold Call,New Business,,,,,Procurement approval required,,,"Carbon Black, SentinelOne",2025-09-16 22:18:41.613493,batch_20250916_221841
53,Boeing Company - Falcon Complete Implementation,Boeing Company,Stage 1 - Qualification,222049.0,2025-10-25,36.0,Robert Johnson,Cold Call,New Business,,CTO - Connie Lawrence,,,Legal review required,Current solution has limited visibility,,"Symantec, SentinelOne",2025-09-16 22:18:41.613494,batch_20250916_221841
54,Comcast Corporation - Falcon OverWatch Implementation,Comcast Corporation,Stage 1 - Proposal,1689462.0,2025-10-28,28.0,Rachel Martinez,Trade Show,New Business,"Reduce security incidents by 45%, improve MTTR by 75%",CEO - Christopher Bernard,"Support quality, Performance impact, Ease of deployment","74 day evaluation, 4 stakeholders",Security assessment required,Current solution has complex management,Brandon Davis - Security Analyst,"SentinelOne, Carbon Black",2025-09-16 22:18:41.613495,batch_20250916_221841
55,JPMorgan Chase & Co. - Professional Services Implementation,JPMorgan Chase & Co.,Stage 1 - Negotiation,412690.0,2025-10-28,11.0,Lisa Wang,Partner,New Business,,,,,Security assessment required,,Valerie Gray - SOC Manager,,2025-09-16 22:18:41.613499,batch_20250916_221841
56,IBM Corporation - Falcon Spotlight Implementation,IBM Corporation,Stage 1 - Needs Analysis,838792.0,2025-09-14,24.0,James Wilson,Website,New Business,"Reduce security incidents by 66%, improve MTTR by 45%",CISO - Lisa Hensley,,"94 day evaluation, 4 stakeholders",,,,,2025-09-16 22:18:41.613500,batch_20250916_221841
57,Advanced Micro Devices Inc. - CrowdStrike Store Implementation,Advanced Micro Devices Inc.,Stage 1 - Proposal,52760.0,2025-09-12,25.0,Amanda Davis,Trade Show,New Business,"Reduce security incidents by 34%, improve MTTR by 61%",CISO - Bobby Hall,"Performance impact, Integration capabilities, Compliance requirements","74 day evaluation, 3 stakeholders",Legal review required,Current solution has high false positives,Donald Reid - Security Analyst,"Carbon Black, SentinelOne",2025-09-16 22:18:41.613500,batch_20250916_221841
58,Cisco Systems Inc. - Falcon Prevent Implementation,Cisco Systems Inc.,Stage 1 - Negotiation,246002.0,2025-10-30,41.0,Christopher Lee,Trade Show,New Business,"Reduce security incidents by 57%, improve MTTR by 62%",,,"106 day evaluation, 3 stakeholders",,,Maria Lynch - Security Analyst,,2025-09-16 22:18:41.613501,batch_20250916_221841
59,NVIDIA Corporation - Falcon Complete Implementation,NVIDIA Corporation,Stage 1 - Proposal,49931.0,2025-07-05,66.0,David Thompson,Website,New Business,"Reduce security incidents by 30%, improve MTTR by 45%",CTO - Carla Gray,,,Procurement approval required,Current solution has high false positives,,,2025-09-16 22:18:41.613502,batch_20250916_221841
60,AT&T Inc. - Falcon X Implementation,AT&T Inc.,Stage 1 - Qualification,1960858.0,2026-01-11,17.0,Lisa Wang,Referral,New Business,"Reduce security incidents by 33%, improve MTTR by 77%",,"Performance impact, Ease of deployment, Security effectiveness",,,Current solution has high false positives,,"Carbon Black, Symantec",2025-09-16 22:18:41.613503,batch_20250916_221841
61,Oracle Corporation - Falcon Prevent Implementation,Oracle Corporation,Stage 1 - Negotiation,57271.0,2026-02-27,50.0,Christopher Lee,Partner,New Business,,CTO - Emily Rios,,,,Current solution has complex management,,,2025-09-16 22:18:41.613503,batch_20250916_221841
62,Intuit Inc. - Falcon Complete Implementation,Intuit Inc.,Stage 1 - Qualification,59760.0,2025-10-10,48.0,James Wilson,Partner,New Business,"Reduce security incidents by 36%, improve MTTR by 48%",,"Total cost of ownership, Performance impact, Vendor stability",,Procurement approval required,Current solution has limited visibility,,,2025-09-16 22:18:41.613504,batch_20250916_221841
63,Mastercard Inc. - Professional Services Implementation,Mastercard Inc.,Stage 1 - Prospecting,91244.0,2025-08-01,26.0,Sarah Chen,Cold Call,New Business,,,"Total cost of ownership, Performance impact, Vendor stability","117 day evaluation, 4 stakeholders",,Current solution has high false positives,,,2025-09-16 22:18:41.613505,batch_20250916_221841
64,Netflix Inc. - Falcon Insight Implementation,Netflix Inc.,Stage 1 - Needs Analysis,291182.0,2025-05-07,89.0,Amanda Davis,Trade Show,New Business,,,"Ease of deployment, Vendor stability, Support quality",,,,Shannon Smith - IT Director,,2025-09-16 22:18:41.613505,batch_20250916_221841
65,AT&T Inc. - Falcon Platform Implementation,AT&T Inc.,Stage 1 - Prospecting,204633.0,2025-12-23,61.0,Rachel Martinez,Referral,New Business,"Reduce security incidents by 34%, improve MTTR by 57%",CEO - Kimberly Adams,"Performance impact, Support quality, Vendor stability","113 day evaluation, 7 stakeholders",Procurement approval required,Current solution has high false positives,Ashley Graham - Security Analyst,"McAfee, Cylance",2025-09-16 22:18:41.613506,batch_20250916_221841
66,Morgan Stanley - Falcon X Implementation,Morgan Stanley,Stage 1 - Negotiation,412775.0,2025-07-17,83.0,Michael Rodriguez,Trade Show,New Business,"Reduce security incidents by 32%, improve MTTR by 67%",CISO - Sherri Baker,"Performance impact, Integration capabilities, Ease of deployment","87 day evaluation, 3 stakeholders",Security assessment required,Current solution has limited visibility,Cassandra Gaines - SOC Manager,"Trend Micro, Carbon Black",2025-09-16 22:18:41.613506,batch_20250916_221841
67,Starbucks Corporation - Falcon X Implementation,Starbucks Corporation,Stage 1 - Qualification,449643.0,2026-01-29,58.0,David Thompson,Trade Show,New Business,,,,"110 day evaluation, 7 stakeholders",Security assessment required,,,,2025-09-16 22:18:41.613507,batch_20250916_221841
68,Caterpillar Inc. - Falcon Complete Implementation,Caterpillar Inc.,Stage 1 - Negotiation,855868.0,2026-01-13,40.0,Robert Johnson,Website,New Business,,CTO - April Nguyen,,"86 day evaluation, 7 stakeholders",,,,,2025-09-16 22:18:41.613508,batch_20250916_221841
69,JPMorgan Chase & Co. - Professional Services Implementation,JPMorgan Chase & Co.,Stage 1 - Negotiation,38970.0,2025-09-16,68.0,David Thompson,Website,New Business,"Reduce security incidents by 59%, improve MTTR by 73%",CEO - Anthony Humphrey,"Scalability, Support quality, Performance impact","118 day evaluation, 7 stakeholders",Procurement approval required,Current solution has slow response times,Angelica Tucker - SOC Manager,"Fortinet, Check Point",2025-09-16 22:18:41.613508,batch_20250916_221841
70,Chevron Corporation - Falcon Complete Implementation,Chevron Corporation,Stage 1 - Needs Analysis,93327.0,2025-07-07,52.0,David Thompson,Cold Call,New Business,"Reduce security incidents by 64%, improve MTTR by 45%",CTO - Pamela Anderson,"Ease of deployment, Integration capabilities, Scalability","104 day evaluation, 4 stakeholders",Security assessment required,Current solution has slow response times,Joshua Baker - Security Analyst,"Palo Alto Networks, Check Point",2025-09-16 22:18:41.613509,batch_20250916_221841
71,Cisco Systems Inc. - Falcon Spotlight Implementation,Cisco Systems Inc.,Stage 1 - Negotiation,132645.0,2026-01-19,10.0,Maria Garcia,Trade Show,New Business,,,,"87 day evaluation, 6 stakeholders",,,Christina Collins - IT Director,"Palo Alto Networks, Cylance",2025-09-16 22:18:41.613509,batch_20250916_221841
72,PayPal Holdings Inc. - Falcon Insight Implementation,PayPal Holdings Inc.,Stage 1 - Qualification,1741289.0,2026-02-28,16.0,James Wilson,Referral,New Business,"Reduce security incidents by 50%, improve MTTR by 53%",CFO - Jessica Holmes,"Vendor stability, Performance impact, Support quality","116 day evaluation, 6 stakeholders",Procurement approval required,Current solution has complex management,Danny Morgan - IT Director,"Carbon Black, Fortinet",2025-09-16 22:18:41.613510,batch_20250916_221841
